City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,95,AU,1612471869,74,-20.7333,139.5,80.6,11.5
rock sound,100,UA,1612471869,97,49.565,34.0782,36.77,10.98
rock sound,40,PG,1612471869,94,-9.4431,147.1797,75.2,5.75
rock sound,0,BG,1612471869,87,42.4167,27.7,48.2,8.05
rock sound,60,PH,1612471869,75,20.4487,121.9702,70.72,23.0
rock sound,82,ZM,1612471869,98,-13.2325,30.2352,62.31,2.39
rock sound,99,RU,1612471668,86,69.4865,88.3972,-21.78,1.41
rock sound,98,BR,1612471869,60,-1.9356,-50.8211,85.86,4.0
rock sound,90,CA,1612471869,77,55.7435,-97.8558,-7.6,11.5
rock sound,86,PE,1612471870,56,-11.9472,-75.2829,60.42,5.35
rock sound,75,RU,1612471870,86,54.675,20.1347,17.6,2.24
rock sound,20,US,1612471870,51,28.017,-97.5169,86.0,13.8
rock sound,75,CA,1612471870,58,58.8053,-122.7002,-13.0,2.3
rock sound,71,CD,1612471870,84,-4.3167,20.5833,73.31,1.01
rock sound,0,AF,1612471870,42,35.0333,71.3581,43.97,9.37
rock sound,20,MX,1612471870,67,32.3333,-117.0333,60.8,8.05
rock sound,40,MR,1612471870,82,20.931,-17.0347,66.2,10.36
rock sound,59,AU,1612471870,73,-32.25,148.6167,69.8,10.36
rock sound,47,TW,1612471870,75,22.7583,121.1444,64.76,8.88
rock sound,0,AR,1612471871,17,-40.8135,-62.9967,95.0,7.07
rock sound,22,RU,1612471871,73,68.75,161.3,-10.82,11.54
rock sound,40,RU,1612471871,85,55.3166,85.9508,6.8,8.95
rock sound,20,TR,1612471871,100,41.1592,27.8,48.2,3.44
rock sound,15,BR,1612471871,73,-30.1811,-50.2056,72.52,22.91
rock sound,97,PT,1612471871,85,40.1629,-8.3327,53.01,1.01
rock sound,3,BR,1612471609,83,-15.8078,-42.2331,73.8,2.57
rock sound,1,MX,1612471871,12,20.6667,-103.3333,87.01,4.16
rock sound,20,AI,1612471580,74,18.217,-63.0578,82.4,13.8
rock sound,40,US,1612471872,19,34.8791,-76.9013,53.6,9.22
rock sound,97,FI,1612471872,84,59.8333,22.95,17.01,11.99
rock sound,65,GB,1612471872,88,51.3813,1.3862,46.0,1.99
rock sound,90,GE,1612471872,76,41.9563,42.9566,46.4,3.44
